client_id,full_name_masked,full_name_token,age_band,phone_masked,risk_category,account_status,account_balance_usd,last_login_at,is_dob_anomaly,source_file_name,source_row_number,row_hash
CL001,A**** T**,e290255a5a47b4f894af8d319c01b3db9d9de711cd19376822c3154914f66838,25_34,********4567,low,active,125.4,2024-03-01T08:15:00Z,0,client_profile.json,1,7e3daf015e6dae668d17a9fd6ad135ed50659769cd8f3d4f5e87ae2b355111c2
CL002,J**** L**,d68d018b3b1c2adfd5ffcaa26e4e77563184cfb6df28856e4f7f6f6dc80519cd,35_44,*******3456,medium,active,420.0,2024-03-02T09:10:00Z,0,client_profile.json,2,c8bf32dab19f99c0c2a0dd2f9c8233ef8f3c497e90bcd1905642d996245bd2db
CL003,S****** K,7bbdecc244e4151a8f1e5bc53d9f5e60e63f8fec3c1813f29150b032eaca6969,25_34,********5678,medium,dormant,32.15,2024-03-01T21:45:00Z,0,client_profile.json,3,6d580f6a42d47a7d57584359936fb9d4ddd1b889f734c815d62b7a4c72868bfb
CL005,K***** M,0fbf9dbfdfde3a8ce7e6476536f58b138b586c17b6c3c1acd3034c359762c813,35_44,*********4567,high,active,780.0,2024-03-04T10:05:00Z,0,client_profile.json,4,cd113ccd8341ef08fecd69eb79f4e51add458ed18e37bc23c6516a601c5365c0
CL007,E**** O,d92d5d0080024c919c46aa8cf3d5ccd9187f0f520498ff89eb41874cdd523208,35_44,**********5678,low,active,0.0,2024-03-15T14:25:00Z,0,client_profile.json,5,363f530bd9f4a0d74fe3cf845ab0afeec203a9b5e2e420397c47fbc1954e804f
CL010,L**** F,3e40eb6f4e1553a07f6f98fb7117d0e70874740b2ff03c6878fc7fad788ce883,35_44,**********4321,medium,active,44.5,2024-03-16T07:15:00Z,0,client_profile.json,6,bcb3474c3af120ef8096588fefdd9395ad5b4ef2da86592fb79ab77e56852ebd
CL012,D**** T,da04182f1ad0cef40465dafa1fa628bc5aea09b49c1118b2c705f5ae2286e40c,65_plus,*******5432,high,restricted,0.0,2024-03-03T17:40:00Z,1,client_profile.json,7,2ea39ebc696d9ffb314700eefe0efd295b79432d4519af3f76f2f91ab77189eb
CL014,F**** A,55f9d576897ce717742fd98d1466d45884bca10749f289b7bf5577ae3ced6485,25_34,********6543,low,active,310.0,2024-03-08T12:00:00Z,0,client_profile.json,8,b3ee02d4275da782d8fca3e2104bc320eb090dd5d0d04cf075aa9b15278e2c9c
CL018,R**** G,d59619bf04f787c4482eaa048f101cdbdf7e22bd35de45dad9c6f5acfb526d59,25_34,*********3210,medium,active,115.75,2024-03-25T18:20:00Z,0,client_profile.json,9,3b5c73212e808e6ba79a552d1bd088e556dcca7add5765f52e8ba2eba5e77676
CL020,H*** M,0e54981a20bc835dc1d5ae9abcfc909144775a49ac9d0aaa3410c3f568d3ead7,35_44,**********5678,low,active,515.2,2024-04-10T06:35:00Z,0,client_profile.json,10,fed1b4f32044270be348cea69890228fcf13c25b09419a73b21e412fc3614c32
CL026,A*** P,eefc5b116fe1f8622cfc26a9725ac7146578c1e4c282fcd0b0be3fe229dc78ed,25_34,**********7890,medium,pending_review,18.0,2024-05-16T08:55:00Z,0,client_profile.json,11,128c0b701f3e77469bd853f3d6b2586498856011285e7986b5ff9871755de263
CL030,N**** H,14c79de35bafde28b0d5de88d17768568a91bbf3046c975f09b320488b5d0837,25_34,********4321,medium,active,0.0,2024-06-12T07:05:00Z,0,client_profile.json,12,c024e2ac73cbea32db43b44761e7db8d5869d614c27d5cd9a971a1f38ee48a50
