client_id,signup_date,country,email_masked,email_token,referral_source,account_type,kyc_status,signup_platform,promo_code,assigned_manager,source_file_name,source_row_number,row_hash
CL001,2024-01-05,Malaysia,a***@email.com,a78f7c7fa6d642709028fab3666f9530e442ed3c6f641323c9e4cfa6243411a1,organic,standard,approved,web,,MGR01,client_signup.json,1,c45569cdf92150eda079ed9d12a4786e8e3229a7adc7c14f118cb9dd141af94c
CL002,2024-01-08,Singapore,j***@email.com,4e060af8c4ce943d3555132620c0898b6598836f6da49470799e57e7048a82c1,paid_search,professional,approved,web,PROMO10,MGR02,client_signup.json,2,5d774b031f26a068c9ce1751844c42b811bf17c70d345108cef20787d0096386
CL003,2024-01-12,Thailand,s***@email.com,c1b8cc338c3a8d55420946d5b60b46920869c30efc64f57552e830c26d3469df,affiliate,standard,approved,mobile,,MGR01,client_signup.json,3,3747ecd51e244fedfb6898b8d2121ba421f07f6b458103d278ecee39c6be3f06
CL004,2024-01-15,Indonesia,b***@email.com,568e3076fb013d209590a1623f48c7ad25ff0ac09e8facde03cd4fe6b02caa6a,social_media,standard,approved,mobile,WELCOME,MGR03,client_signup.json,4,d8a7222f2ede8482a66fc8f8dba1bad092712cbd0dbf43d375eb49e2aab26985
CL005,2024-01-20,UAE,k***@email.com,3b22d747cedfcab99fd5b097401366a8f311ccee207d4a78608b98f97cc8fcbd,referral,vip,approved,web,,MGR02,client_signup.json,5,7f9a0cad498efb52ce4bf121c1ead7fd68d9154a7cb4a533853f3fa2f7e9834d
CL006,2024-01-22,UK,s***@email.com,441f10ea9119380c4250c43cb6fc42d93e4c9588b22236983d42e26cfdd8966a,organic,professional,approved,web,,MGR04,client_signup.json,6,5d1a6df0b76a8905b15b6f0552f1ee1bd8332a343c5634c946fe9d0e892a516f
CL007,2024-03-15,Nigeria,e***@email.com,27898e4fb628da8798ee4f3e456e88fc062c0748d71e8af3dd409816160e7807,affiliate,standard,approved,mobile,,MGR01,client_signup.json,7,61fff368c46d2aa2ed1bce835d30fa260256211275f90c783cd76930cf00a786
CL008,2024-02-01,Malaysia,r***@email.com,717c23fba4fa199f1829244f5fbd011f4a563463eab810b3acf59860c268cde0,paid_search,standard,approved,web,PROMO10,MGR03,client_signup.json,8,0c76d4bc311a237287d95f4d1cf4ff574bde09dccdf61c8b6cae313f63b82484
CL009,2024-02-05,Germany,a***@email.com,15da61cd6306b307d1de037ea6124c077d0d47a8cd1c39b3164280d868362907,organic,professional,approved,web,,MGR04,client_signup.json,9,e7a99b18542b4922e3820dee4b0c6b1934d1efa2a3087b21c33e5aa81c37e74e
CL010,2024-02-10,Brazil,l***@email.com,c027749e512e1dbe861f616804f33d77f8e6c86e5c2e5d74ff1b1609af812f28,social_media,standard,approved,mobile,WELCOME,MGR01,client_signup.json,10,a50254a6344fa88a43cf34fd02e6376ea3f7f7cba90f6fbf80232d08898b5033
CL011,2024-02-14,India,p***@email.com,c5f23f1772c488855a1f07603c671e7d7fc03c96ab923ab2f186dbcd2559b783,referral,standard,approved,web,,MGR02,client_signup.json,11,c5e702176213b09cc7f76c45152f6952ebee305bdd3cc6190db6cf7e07c35ca3
CL012,2024-02-18,Singapore,d***@email.com,051b67cd40eff108ebd88cacb593f5a51ac9a7295ecba6f6cd49bcf553dec912,paid_search,standard,rejected,web,PROMO10,MGR03,client_signup.json,12,030082240302ee158cb5bd29767ae73b777bb248cc0f89983ecdba2a744da7d1
CL013,2024-02-22,Thailand,n***@email.com,a0ed97bc762902b841007f04a8db1fbdf38291fec85760f50e831bbe0eb72788,affiliate,standard,approved,mobile,,MGR01,client_signup.json,13,5f8c42dd117824b5735c2a98e442f65c5ef46bfc513dd63fa6cfe3fc9b5dfe59
CL014,2024-03-01,Malaysia,f***@email.com,b555cbb1844bd080d535a3c93160aaf1b1df83392cced21a39bbce05f25c1533,organic,vip,approved,web,,MGR02,client_signup.json,14,b6522fe058ad7059ec0104d183bba46e1878550bab328d0f6c7f8b558cf9f37f
CL015,2024-03-05,UAE,o***@email.com,bb2468082d0a5387257145a248a6ed5f2d3ea8f8dd8a9c5fc079295a766a778a,referral,professional,approved,web,,MGR04,client_signup.json,15,8151f4d9014c87fe2ed3db229b67b589c89604b76e525c525219cab132800f3e
